# data file from generate.cpp
wavelengths,spectrum
2043.2000000000,0.9803626687
2043.4000000000,0.9794259531
2043.6000000000,0.9784201753
2043.8000000000,0.9773512170
2044.0000000000,0.9762253468
2044.2000000000,0.9750492026
2044.4000000000,0.9738297705
2044.6000000000,0.9725743586
2044.8000000000,0.9712905672
2045.0000000000,0.9699862533
2045.2000000000,0.9686694908
2045.4000000000,0.9673485263
2045.6000000000,0.9660317302
2045.8000000000,0.9647275439
2046.0000000000,0.9634444234
2046.2000000000,0.9621907795
2046.4000000000,0.9609749168
2046.6000000000,0.9598049694
2046.8000000000,0.9586888376
2047.0000000000,0.9576341230
2047.2000000000,0.9566480658
2047.4000000000,0.9557374831
2047.6000000000,0.9549087103
2047.8000000000,0.9541675463
2048.0000000000,0.9535192020
2048.2000000000,0.9529682556
2048.4000000000,0.9525186121
2048.6000000000,0.9521734703
2048.8000000000,0.9519352961
2049.0000000000,0.9518058032
2049.2000000000,0.9517859418
2049.4000000000,0.9518758946
2049.6000000000,0.9520750804
2049.8000000000,0.9523821664
2050.0000000000,0.9527950870
2050.2000000000,0.9533110705
2050.4000000000,0.9539266732
2050.6000000000,0.9546378189
2050.8000000000,0.9554398451
2051.0000000000,0.9563275548
2051.2000000000,0.9572952721
2051.4000000000,0.9583369026
2051.6000000000,0.9594459961
2051.8000000000,0.9606158124
2052.0000000000,0.9618393880
2052.2000000000,0.9631096037
2052.4000000000,0.9644192517
2052.6000000000,0.9657611021
2052.8000000000,0.9671279670
2053.0000000000,0.9685127623
2053.2000000000,0.9699085663
2053.4000000000,0.9713086742
2053.6000000000,0.9727066480
2053.8000000000,0.9740963616
2054.0000000000,0.9754720404
2054.2000000000,0.9768282953
2054.4000000000,0.9781601511
2054.6000000000,0.9794630682
2054.8000000000,0.9807329592
2055.0000000000,0.9819661992
2055.2000000000,0.9831596301
2055.4000000000,0.9843105604
2055.6000000000,0.9854167583
2055.8000000000,0.9864764421
2056.0000000000,0.9874882645
2056.2000000000,0.9884512938
2056.4000000000,0.9893649924
2056.6000000000,0.9902291913
2056.8000000000,0.9910440636
2057.0000000000,0.9918100951
2057.2000000000,0.9925280550
2057.4000000000,0.9931989647
2057.6000000000,0.9938240674
2057.8000000000,0.9944047973
2058.0000000000,0.9949427494
2058.2000000000,0.9954396509
2058.4000000000,0.9958973331
2058.6000000000,0.9963177051
2058.8000000000,0.9967027295
2059.0000000000,0.9970543995
2059.2000000000,0.9973747184
2059.4000000000,0.9976656808
2059.6000000000,0.9979292562
2059.8000000000,0.9981673744
2060.0000000000,0.9983819131
2060.2000000000,0.9985746876
2060.4000000000,0.9987474422
2060.6000000000,0.9989018430
2060.8000000000,0.9990394736
2061.0000000000,0.9991618306
2061.2000000000,0.9992703221
2061.4000000000,0.9993662663
2061.6000000000,0.9994508919
2061.8000000000,0.9995253389
2062.0000000000,0.9995906608
2062.2000000000,0.9996478268
2062.4000000000,0.9996977254
2062.6000000000,0.9997411676
2062.8000000000,0.9997788910
2063.0000000000,0.9998115639
2063.2000000000,0.9998397895
2063.4000000000,0.9998641104
2063.6000000000,0.9998850130
2063.8000000000,0.9999029316
2064.0000000000,0.9999182528
2064.2000000000,0.9999313196
2064.4000000000,0.9999424352
2064.6000000000,0.9999518668
2064.8000000000,0.9999598492
2065.0000000000,0.9999665878
2065.2000000000,0.9999722619
2065.4000000000,0.9999770275
2065.6000000000,0.9999810199
2065.8000000000,0.9999843560
2066.0000000000,0.9999871366
2066.2000000000,0.9999894484
2066.4000000000,0.9999913655
2066.6000000000,0.9999929513
2066.8000000000,0.9999942597
2067.0000000000,0.9999953364
2067.2000000000,0.9999962204
2067.4000000000,0.9999969441
2067.6000000000,0.9999975353
2067.8000000000,0.9999980168
2068.0000000000,0.9999984082
2068.2000000000,0.9999987254
2068.4000000000,0.9999989818
2068.6000000000,0.9999991887
2068.8000000000,0.9999993551
2069.0000000000,0.9999994886
2069.2000000000,0.9999995954
2069.4000000000,0.9999996807
2069.6000000000,0.9999997487
2069.8000000000,0.9999998026
2070.0000000000,0.9999998454
2070.2000000000,0.9999998791
2070.4000000000,0.9999999058
2070.6000000000,0.9999999267
2070.8000000000,0.9999999432
2071.0000000000,0.9999999560
2071.2000000000,0.9999999660
2071.4000000000,0.9999999738
2071.6000000000,0.9999999799
2071.8000000000,0.9999999846
2072.0000000000,0.9999999882
2072.2000000000,0.9999999910
2072.4000000000,0.9999999932
2072.6000000000,0.9999999948
2072.8000000000,0.9999999961
2073.0000000000,0.9999999970
2073.2000000000,0.9999999978
2073.4000000000,0.9999999983
2073.6000000000,0.9999999987
2073.8000000000,0.9999999990
2074.0000000000,0.9999999993
2074.2000000000,0.9999999995
2074.4000000000,0.9999999996
2074.6000000000,0.9999999997
2074.8000000000,0.9999999997
2075.0000000000,0.9999999998
2075.2000000000,0.9999999998
2075.4000000000,0.9999999998
2075.6000000000,0.9999999998
2075.8000000000,0.9999999997
2076.0000000000,0.9999999996
2076.2000000000,0.9999999995
2076.4000000000,0.9999999993
2076.6000000000,0.9999999991
2076.8000000000,0.9999999988
2077.0000000000,0.9999999984
2077.2000000000,0.9999999978
2077.4000000000,0.9999999971
2077.6000000000,0.9999999961
2077.8000000000,0.9999999948
2078.0000000000,0.9999999930
2078.2000000000,0.9999999907
2078.4000000000,0.9999999876
2078.6000000000,0.9999999836
2078.8000000000,0.9999999783
2079.0000000000,0.9999999714
2079.2000000000,0.9999999624
2079.4000000000,0.9999999507
2079.6000000000,0.9999999355
2079.8000000000,0.9999999158
2080.0000000000,0.9999998903
2080.2000000000,0.9999998575
2080.4000000000,0.9999998153
2080.6000000000,0.9999997612
2080.8000000000,0.9999996921
2081.0000000000,0.9999996039
2081.2000000000,0.9999994918
2081.4000000000,0.9999993496
2081.6000000000,0.9999991696
2081.8000000000,0.9999989424
2082.0000000000,0.9999986564
2082.2000000000,0.9999982973
2082.4000000000,0.9999978476
2082.6000000000,0.9999972858
2082.8000000000,0.9999965859
2083.0000000000,0.9999957163
2083.2000000000,0.9999946384
2083.4000000000,0.9999933060
2083.6000000000,0.9999916632
2083.8000000000,0.9999896429
2084.0000000000,0.9999871650
2084.2000000000,0.9999841336
2084.4000000000,0.9999804350
2084.6000000000,0.9999759339
2084.8000000000,0.9999704708
2085.0000000000,0.9999638572
2085.2000000000,0.9999558721
2085.4000000000,0.9999462563
2085.6000000000,0.9999347072
2085.8000000000,0.9999208729
2086.0000000000,0.9999043449
2086.2000000000,0.9998846509
2086.4000000000,0.9998612467
2086.6000000000,0.9998335070
2086.8000000000,0.9998007163
2087.0000000000,0.9997620580
2087.2000000000,0.9997166038
2087.4000000000,0.9996633020
2087.6000000000,0.9996009651
2087.8000000000,0.9995282575
2088.0000000000,0.9994436820
2088.2000000000,0.9993455670
2088.4000000000,0.9992320529
2088.6000000000,0.9991010791
2088.8000000000,0.9989503710
2089.0000000000,0.9987774284
2089.2000000000,0.9985795139
2089.4000000000,0.9983536437
2089.6000000000,0.9980965791
2089.8000000000,0.9978048208
2090.0000000000,0.9974746056
2090.2000000000,0.9971019058
2090.4000000000,0.9966824325
2090.6000000000,0.9962116429
2090.8000000000,0.9956847512
2091.0000000000,0.9950967453
2091.2000000000,0.9944424085
2091.4000000000,0.9937163465
2091.6000000000,0.9929130213
2091.8000000000,0.9920267903
2092.0000000000,0.9910519527
2092.2000000000,0.9899828019
2092.4000000000,0.9888136851
2092.6000000000,0.9875390682
2092.8000000000,0.9861536078
2093.0000000000,0.9846522278
2093.2000000000,0.9830302015
2093.4000000000,0.9812832378
2093.6000000000,0.9794075699
2093.8000000000,0.9774000465
2094.0000000000,0.9752582240
2094.2000000000,0.9729804566
2094.4000000000,0.9705659856
2094.6000000000,0.9680150232
2094.8000000000,0.9653288315
2095.0000000000,0.9625097930
2095.2000000000,0.9595614723
2095.4000000000,0.9564886661
2095.6000000000,0.9532974399
2095.8000000000,0.9499951510
2096.0000000000,0.9465904548
2096.2000000000,0.9430932938
2096.4000000000,0.9395148696
2096.6000000000,0.9358675946
2096.8000000000,0.9321650261
2097.0000000000,0.9284217804
2097.2000000000,0.9246534292
2097.4000000000,0.9208763775
2097.6000000000,0.9171077253
2097.8000000000,0.9133651145
2098.0000000000,0.9096665622
2098.2000000000,0.9060302833
2098.4000000000,0.9024745042
2098.6000000000,0.8990172714
2098.8000000000,0.8956762564
2099.0000000000,0.8924685609
2099.2000000000,0.8894105247
2099.4000000000,0.8865175403
2099.6000000000,0.8838038754
2099.8000000000,0.8812825084
2100.0000000000,0.8789649774
2100.2000000000,0.8768612469
2100.4000000000,0.8749795936
2100.6000000000,0.8733265129
2100.8000000000,0.8719066492
2101.0000000000,0.8707227491
2101.2000000000,0.8697756412
2101.4000000000,0.8690642396
2101.6000000000,0.8685855755
2101.8000000000,0.8683348520
2102.0000000000,0.8683055259
2102.2000000000,0.8684894123
2102.4000000000,0.8688768124
2102.6000000000,0.8694566615
2102.8000000000,0.8702166962
2103.0000000000,0.8711436376
2103.2000000000,0.8722233879
2103.4000000000,0.8734412370
2103.6000000000,0.8747820762
2103.8000000000,0.8762306154
2104.0000000000,0.8777715995
2104.2000000000,0.8793900214
2104.4000000000,0.8810713268
2104.6000000000,0.8828016074
2104.8000000000,0.8845677800
2105.0000000000,0.8863577463
2105.2000000000,0.8881605330
2105.4000000000,0.8899664074
2105.6000000000,0.8917669684
2105.8000000000,0.8935552097
2106.0000000000,0.8953255567
2106.2000000000,0.8970738735
2106.4000000000,0.8987974443
2106.6000000000,0.9004949266
2106.8000000000,0.9021662801
2107.0000000000,0.9038126729
2107.2000000000,0.9054363665
2107.4000000000,0.9070405839
2107.6000000000,0.9086293641
2107.8000000000,0.9102074050
2108.0000000000,0.9117799004
2108.2000000000,0.9133523734
2108.4000000000,0.9149305106
2108.6000000000,0.9165199997
2108.8000000000,0.9181263750
2109.0000000000,0.9197548726
2109.2000000000,0.9214102987
2109.4000000000,0.9230969127
2109.6000000000,0.9248183269
2109.8000000000,0.9265774240
2110.0000000000,0.9283762941
2110.2000000000,0.9302161898
2110.4000000000,0.9320975016
2110.6000000000,0.9340197503
2110.8000000000,0.9359815987
2111.0000000000,0.9379808793
2111.2000000000,0.9400146367
2111.4000000000,0.9420791842
2111.6000000000,0.9441701718
2111.8000000000,0.9462826634
2112.0000000000,0.9484112228
2112.2000000000,0.9505500037
2112.4000000000,0.9526928448
2112.6000000000,0.9548333655
2112.8000000000,0.9569650613
2113.0000000000,0.9590813976
2113.2000000000,0.9611758999
2113.4000000000,0.9632422380
2113.6000000000,0.9652743049
2113.8000000000,0.9672662881
2114.0000000000,0.9692127326
2114.2000000000,0.9711085950
2114.4000000000,0.9729492895
2114.6000000000,0.9747307230
2114.8000000000,0.9764493226
2114.9999999999,0.9781020527
2115.1999999999,0.9796864242
2115.3999999999,0.9812004944
2115.5999999999,0.9826428608
2115.7999999999,0.9840126461
2115.9999999999,0.9853094778
2116.1999999999,0.9865334626
2116.3999999999,0.9876851558
2116.5999999999,0.9887655269
2116.7999999999,0.9897759225
2116.9999999999,0.9907180270
2117.1999999999,0.9915938224
2117.3999999999,0.9924055472
2117.5999999999,0.9931556554
2117.7999999999,0.9938467766
2117.9999999999,0.9944816775
2118.1999999999,0.9950632246
2118.3999999999,0.9955943498
2118.5999999999,0.9960780181
2118.7999999999,0.9965171977
2118.9999999999,0.9969148340
2119.1999999999,0.9972738255
2119.3999999999,0.9975970032
2119.5999999999,0.9978871130
2119.7999999999,0.9981468010
2119.9999999999,0.9983786013
2120.1999999999,0.9985849269
2120.3999999999,0.9987680627
2120.5999999999,0.9989301610
2120.7999999999,0.9990732388
2120.9999999999,0.9991991772
2121.1999999999,0.9993097226
2121.3999999999,0.9994064884
2121.5999999999,0.9994909590
2121.7999999999,0.9995644943
2121.9999999999,0.9996283345
2122.1999999999,0.9996836063
2122.3999999999,0.9997313294
2122.5999999999,0.9997724227
2122.7999999999,0.9998077111
2122.9999999999,0.9998379325
2123.1999999999,0.9998637447
2123.3999999999,0.9998857315
2123.5999999999,0.9999044093
2123.7999999999,0.9999202335
2123.9999999999,0.9999336042
2124.1999999999,0.9999448715
2124.3999999999,0.9999543409
2124.5999999999,0.9999622781
2124.7999999999,0.9999689133
2124.9999999999,0.9999744453
2125.1999999999,0.9999790453
2125.3999999999,0.9999828601
2125.5999999999,0.9999860154
2125.7999999999,0.9999886184
2125.9999999999,0.9999907599
2126.1999999999,0.9999925173
2126.3999999999,0.9999939555
2126.5999999999,0.9999951295
2126.7999999999,0.9999960852
2126.9999999999,0.9999968613
2127.1999999999,0.9999974898
2127.3999999999,0.9999979974
2127.5999999999,0.9999984063
2127.7999999999,0.9999987349
2127.9999999999,0.9999989982
2128.1999999999,0.9999992086
2128.3999999999,0.9999993763
2128.5999999999,0.9999995096
2128.7999999999,0.9999996153
2128.9999999999,0.9999996987
2129.1999999999,0.9999997644
2129.3999999999,0.9999998158
2129.5999999999,0.9999998560
2129.7999999999,0.9999998870
2129.9999999999,0.9999999107
2130.1999999999,0.9999999285
2130.3999999999,0.9999999414
2130.5999999999,0.9999999503
2130.7999999999,0.9999999555
2130.9999999999,0.9999999575
2131.1999999999,0.9999999563
2131.3999999999,0.9999999518
2131.5999999999,0.9999999437
2131.7999999999,0.9999999314
2131.9999999999,0.9999999141
2132.1999999999,0.9999998906
2132.3999999999,0.9999998595
2132.5999999999,0.9999998187
2132.7999999999,0.9999997656
2132.9999999999,0.9999996972
2133.1999999999,0.9999996091
2133.3999999999,0.9999994963
2133.5999999999,0.9999993523
2133.7999999999,0.9999991689
2133.9999999999,0.9999989361
2134.1999999999,0.9999986413
2134.3999999999,0.9999982691
2134.5999999999,0.9999978002
2134.7999999999,0.9999972112
2134.9999999999,0.9999964731
2135.1999999999,0.9999955507
2135.3999999999,0.9999944009
2135.5999999999,0.9999929713
2135.7999999999,0.9999911983
2135.9999999999,0.9999890054
2136.1999999999,0.9999862999
2136.3999999999,0.9999829708
2136.5999999999,0.9999788848
2136.7999999999,0.9999738829
2136.9999999999,0.9999677758
2137.1999999999,0.9999603385
2137.3999999999,0.9999513048
2137.5999999999,0.9999403608
2137.7999999999,0.9999271371
2137.9999999999,0.9999112003
2138.1999999999,0.9998920443
2138.3999999999,0.9998690789
2138.5999999999,0.9998416189
2138.7999999999,0.9998088707
2138.9999999999,0.9997699189
2139.1999999999,0.9997237101
2139.3999999999,0.9996690373
2139.5999999999,0.9996045211
2139.7999999999,0.9995285910
2139.9999999999,0.9994394652
2140.1999999999,0.9993351287
2140.3999999999,0.9992133116
2140.5999999999,0.9990714655
2140.7999999999,0.9989067402
2140.9999999999,0.9987159599
2141.1999999999,0.9984955992
2141.3999999999,0.9982417604
2141.5999999999,0.9979501509
2141.7999999999,0.9976160632
2141.9999999999,0.9972343559
2142.1999999999,0.9967994385
2142.3999999999,0.9963052594
2142.5999999999,0.9957452979
2142.7999999999,0.9951125622
2142.9999999999,0.9943995926
2143.1999999999,0.9935984722
2143.3999999999,0.9927008451
2143.5999999999,0.9916979435
2143.7999999999,0.9905806240
2143.9999999999,0.9893394147
2144.1999999999,0.9879645730
2144.3999999999,0.9864461547
2144.5999999999,0.9847740955
2144.7999999999,0.9829383044
2144.9999999999,0.9809287694
2145.1999999999,0.9787356750
2145.3999999999,0.9763495311
2145.5999999999,0.9737613128
2145.7999999999,0.9709626096
2145.9999999999,0.9679457820
2146.1999999999,0.9647041252
2146.3999999999,0.9612320363
2146.5999999999,0.9575251833
2146.7999999999,0.9535806730
2146.9999999999,0.9493972146
2147.1999999999,0.9449752759
2147.3999999999,0.9403172294
2147.5999999999,0.9354274835
2147.7999999999,0.9303125968
2147.9999999999,0.9249813712
2148.1999999999,0.9194449214
2148.3999999999,0.9137167176
2148.5999999999,0.9078125987
2148.7999999999,0.9017507551
2148.9999999999,0.8955516786
2149.1999999999,0.8892380791
2149.3999999999,0.8828347682
2149.5999999999,0.8763685096
2149.7999999999,0.8698678390
2149.9999999999,0.8633628536
2150.1999999999,0.8568849761
2150.3999999999,0.8504666939
2150.5999999999,0.8441412799
2150.7999999999,0.8379424968
2150.9999999999,0.8319042915
2151.1999999999,0.8260604816
2151.3999999999,0.8204444415
2151.5999999999,0.8150887906
2151.7999999999,0.8100250884
2151.9999999999,0.8052835415
2152.1999999999,0.8008927246
2152.3999999999,0.7968793202
2152.5999999999,0.7932678779
2152.7999999999,0.7900805977
2152.9999999999,0.7873371366
2153.1999999999,0.7850544415
2153.3999999999,0.7832466084
2153.5999999999,0.7819247676
2153.7999999999,0.7810969968
2153.9999999999,0.7807682603
2154.1999999999,0.7809403749
2154.3999999999,0.7816120018
2154.5999999999,0.7827786650
2154.7999999999,0.7844327942
2154.9999999999,0.7865637935
2155.1999999999,0.7891581351
2155.3999999999,0.7921994765
2155.5999999999,0.7956688023
2155.7999999999,0.7995445893
2155.9999999999,0.8038029938
2156.1999999999,0.8084180606
2156.3999999999,0.8133619519
2156.5999999999,0.8186051950
2156.7999999999,0.8241169453
2156.9999999999,0.8298652642
2157.1999999999,0.8358174065
2157.3999999999,0.8419401157
2157.5999999999,0.8481999230
2157.7999999999,0.8545634454
2157.9999999999,0.8609976800
2158.1999999999,0.8674702890
2158.3999999999,0.8739498722
2158.5999999999,0.8804062229
2158.7999999999,0.8868105624
2158.9999999999,0.8931357514
2159.1999999999,0.8993564742
2159.3999999999,0.9054493939
2159.5999999999,0.9113932763
2159.7999999999,0.9171690826
2159.9999999999,0.9227600292
2160.1999999999,0.9281516149
2160.3999999999,0.9333316180
2160.5999999999,0.9382900622
2160.7999999999,0.9430191552
2160.9999999999,0.9475132014
2161.1999999999,0.9517684916
2161.3999999999,0.9557831731
2161.5999999999,0.9595571023
2161.7999999999,0.9630916842
2161.9999999999,0.9663897011
2162.1999999999,0.9694551341
2162.3999999999,0.9722929807
2162.5999999999,0.9749090703
2162.7999999999,0.9773098810
2162.9999999999,0.9795023601
2163.1999999999,0.9814937493
2163.3999999999,0.9832914181
2163.5999999999,0.9849027048
2163.7999999999,0.9863347676
2163.9999999999,0.9875944466
2164.1999999999,0.9886881372
2164.3999999999,0.9896216748
2164.5999999999,0.9904002325
2164.7999999999,0.9910282309
2164.9999999999,0.9915092602
2165.1999999999,0.9918460154
2165.3999999999,0.9920402439
2165.5999999999,0.9920927055
2165.7999999999,0.9920031456
2165.9999999999,0.9917702806
2166.1999999999,0.9913917963
2166.3999999999,0.9908643592
2166.5999999999,0.9901836411
2166.7999999999,0.9893443568
2166.9999999999,0.9883403152
2167.1999999999,0.9871644847
2167.3999999999,0.9858090719
2167.5999999999,0.9842656152
2167.7999999999,0.9825250923
2167.9999999999,0.9805780419
2168.1999999999,0.9784146994
2168.3999999999,0.9760251469
2168.5999999999,0.9733994759
2168.7999999999,0.9705279630
2168.9999999999,0.9674012560
2169.1999999999,0.9640105715
2169.3999999999,0.9603478999
2169.5999999999,0.9564062169
2169.7999999999,0.9521797001
2169.9999999999,0.9476639460
2170.1999999999,0.9428561866
2170.3999999999,0.9377555009
2170.5999999999,0.9323630193
2170.7999999999,0.9266821154
2170.9999999999,0.9207185837
2171.1999999999,0.9144807971
2171.3999999999,0.9079798428
2171.5999999999,0.9012296301
2171.7999999999,0.8942469691
2171.9999999999,0.8870516147
2172.1999999999,0.8796662752
2172.3999999999,0.8721165803
2172.5999999999,0.8644310080
2172.7999999999,0.8566407695
2172.9999999999,0.8487796482
2173.1999999999,0.8408837965
2173.3999999999,0.8329914876
2173.5999999999,0.8251428259
2173.7999999999,0.8173794160
2173.9999999999,0.8097439954
2174.1999999999,0.8022800329
2174.3999999999,0.7950312973
2174.5999999999,0.7880414023
2174.7999999999,0.7813533320
2174.9999999999,0.7750089535
2175.1999999999,0.7690485245
2175.3999999999,0.7635101998
2175.5999999999,0.7584295465
2175.7999999999,0.7538390736
2175.9999999999,0.7497677829
2176.1999999999,0.7462407487
2176.3999999999,0.7432787313
2176.5999999999,0.7408978327
2176.7999999999,0.7391091978
2176.9999999999,0.7379187665
2177.1999999999,0.7373270822
2177.3999999999,0.7373291585
2177.5999999999,0.7379144083
2177.7999999999,0.7390666355
2177.9999999999,0.7407640928
2178.1999999999,0.7429796032
2178.3999999999,0.7456807473
2178.5999999999,0.7488301131
2178.7999999999,0.7523856077
2178.9999999999,0.7563008274
2179.1999999999,0.7605254828
2179.3999999999,0.7650058761
2179.5999999999,0.7696854237
2179.7999999999,0.7745052214
2179.9999999999,0.7794046444
2180.1999999999,0.7843219771
2180.3999999999,0.7891950651
2180.5999999999,0.7939619829
2180.7999999999,0.7985617092
2180.9999999999,0.8029348022
2181.1999999999,0.8070240660
2181.3999999999,0.8107752002
2181.5999999999,0.8141374246
2181.7999999999,0.8170640683
2181.9999999999,0.8195131180
2182.1999999999,0.8214477134
2182.3999999999,0.8228365856
2182.5999999999,0.8236544287
2182.7999999999,0.8238821990
2182.9999999999,0.8235073367
2183.1999999999,0.8225239053
2183.3999999999,0.8209326455
2183.5999999999,0.8187409430
2183.7999999999,0.8159627085
2183.9999999999,0.8126181730
2184.1999999999,0.8087336013
2184.3999999999,0.8043409281
2184.5999999999,0.7994773233
2184.7999999999,0.7941846955
2184.9999999999,0.7885091408
2185.1999999999,0.7825003501
2185.3999999999,0.7762109829
